City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Coquimbo,CL,-29.9533,-71.3436,64.4,82,75,11.5,broken clouds
201,Vagur,FO,61.4732,-6.8119,43.54,86,22,5.41,few clouds
202,Natal,BR,-5.795,-35.2094,84.2,70,40,12.66,scattered clouds
203,Beroroha,MG,-21.6667,45.1667,72.25,68,0,2.37,clear sky
204,Vao,NC,-22.6667,167.4833,75.25,78,22,18.52,few clouds
205,The Pas,CA,53.8251,-101.2541,42.8,49,1,12.66,clear sky
206,Pokhara,NP,28.2333,83.9833,59.77,34,0,4.83,clear sky
207,San Cristobal,VE,7.7669,-72.225,84.2,61,40,4.61,scattered clouds
208,Saint George,US,37.1041,-113.5841,75.0,16,1,2.75,clear sky
209,Nanortalik,GL,60.1432,-45.2371,30.13,97,99,13.04,light snow
210,Nemuro,JP,43.3236,145.575,26.08,88,0,16.15,clear sky
211,Verkhoyansk,RU,67.5447,133.385,-21.6,81,100,2.53,overcast clouds
212,Parrita,CR,9.5201,-84.3225,79.0,41,0,21.85,clear sky
213,Fort Nelson,CA,58.8053,-122.7002,23.0,63,20,9.22,few clouds
214,Yuli,NG,9.6989,10.2744,83.59,14,18,5.28,few clouds
215,Hithadhoo,MV,-0.6,73.0833,83.26,68,0,9.89,clear sky
216,Pevek,RU,69.7008,170.3133,-20.52,84,100,12.1,overcast clouds
217,Auki,SB,-8.7676,160.7034,80.02,81,100,3.18,overcast clouds
218,Yulara,AU,-25.2406,130.9889,71.6,49,40,5.75,scattered clouds
219,Kidal,ML,18.4411,1.4078,81.23,15,89,4.25,overcast clouds
220,Saskylakh,RU,71.9167,114.0833,-30.15,83,98,3.47,overcast clouds
221,Carnarvon,AU,-24.8667,113.6333,77.0,100,0,8.05,clear sky
222,Namatanai,PG,-3.6667,152.4333,79.48,78,100,5.21,light rain
223,Katsuura,JP,35.1333,140.3,44.6,87,75,6.91,broken clouds
224,Whitehorse,CA,60.7161,-135.0538,19.99,57,75,5.75,broken clouds
225,Pecos,US,31.4229,-103.4932,69.8,26,1,5.66,clear sky
226,Buraydah,SA,26.326,43.975,66.2,34,0,8.05,clear sky
227,Guadalupe Y Calvo,MX,26.1,-106.9667,66.96,21,38,10.27,scattered clouds
228,Jacareacanga,BR,-6.2222,-57.7528,84.11,80,95,1.83,moderate rain
229,Kondopoga,RU,62.2057,34.2614,17.6,73,100,13.42,overcast clouds
230,Quelimane,MZ,-17.8786,36.8883,82.4,74,20,6.91,few clouds
231,Buchanan,LR,5.8808,-10.0467,78.8,94,20,6.93,few clouds
232,Hay River,CA,60.8156,-115.7999,14.0,73,100,11.5,overcast clouds
